t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
  6.7000  -2.0913   2.2048   2.3142  -2.0346  -0.8941   1.0248   0.6102  -0.9764   0.0049   0.1081  -0.0017   0.4204   0.2547  -0.0154 
  6.8000  -1.8400   1.9859   1.8644  -2.0913  -1.0491   1.2343   0.8820  -0.9565  -0.0010   0.0973  -0.0042   0.4205   0.2644  -0.0158 
  6.9000  -1.9576   2.0224   1.9252  -1.8968  -0.9954   1.2092   0.8526  -1.0837   0.0012   0.0975   0.0051   0.4207   0.2742  -0.0153 
  7.0000  -2.1440   2.1683   2.1764  -2.1926  -0.9132   1.1027   0.7167  -0.9409   0.0001   0.1085  -0.0018   0.4209   0.2850  -0.0154 
  7.1000  -2.2859   2.4115   2.3264  -2.2859  -0.8353   1.0266   0.6042  -0.8560   0.0021   0.1164   0.0028   0.4213   0.2967  -0.0152 
  7.2000  -2.1319   2.1319   2.3467  -2.1683  -0.8976   1.0672   0.5514  -0.9080   0.0022   0.1097  -0.0082   0.4217   0.3076  -0.0160 
  7.3000  -1.7995   1.7428   1.6414  -1.9089  -1.1079   1.3754   0.9807  -1.0984  -0.0041   0.0887  -0.0003   0.4214   0.3165  -0.0160 
  7.4000  -1.9738   1.8968   1.7792  -1.8968  -1.0283   1.2992   0.9426  -1.1131  -0.0024   0.0943   0.0063   0.4213   0.3259  -0.0154 
  7.5000  -2.0548   2.0913   2.0954  -2.1156  -0.9746   1.1824   0.7937  -1.0153   0.0002   0.1045  -0.0021   0.4215   0.3364  -0.0156 
  7.6000  -2.4439   2.2170   2.2859  -2.1440  -0.7877   1.1001   0.6976  -0.9764  -0.0011   0.1136   0.0075   0.4216   0.3477  -0.0148 
  7.7000  -2.0346   2.1075   2.3993  -2.1926  -0.9764   1.1495   0.5912  -0.9305   0.0035   0.1092  -0.0146   0.4221   0.3586  -0.0163 
  7.8000  -1.7995   1.8725   1.7185  -2.0103  -1.1382   1.2923   0.9677  -1.0785  -0.0027   0.0925  -0.0018   0.4220   0.3679  -0.0165 
  7.9000  -1.8887   1.9738   1.8360  -1.8279  -1.1296   1.2637   0.9253  -1.2014   0.0012   0.0941   0.0064   0.4223   0.3773  -0.0158 
  8.0000  -2.0103   2.0224   1.8522  -1.9373  -1.0690   1.2533   0.9426  -1.1763  -0.0009   0.0978   0.0079   0.4223   0.3871  -0.0151 
