t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
  6.5000  -1.8117   2.0670   1.7549  -1.6212  -1.0119   1.0084   0.5505  -0.8976   0.0049   0.0907   0.0163   0.4004   0.2508   0.0006 
  6.6000  -1.7914   1.5969   2.4115  -2.0548  -1.2075   1.2127   0.4994  -1.2404   0.0020   0.0982  -0.0350   0.4006   0.2606  -0.0029 
  6.7000  -2.6020   2.1440   1.3050  -1.8765  -1.0274   1.1971   0.7859  -0.9980  -0.0129   0.0991   0.0508   0.3994   0.2705   0.0022 
  6.8000  -1.7428   2.0103   2.3102  -2.2778  -0.7262   1.0768   1.0196  -0.9790   0.0037   0.1043  -0.0271   0.3997   0.2809  -0.0005 
  6.9000  -2.0224   2.3102   1.9373  -1.7995  -0.9616   0.9928   0.6336  -0.9435   0.0053   0.1009   0.0193   0.4002   0.2910   0.0014 
  7.0000  -1.9211   1.7914   2.2778  -2.2615  -0.8803   1.0006   0.5912  -1.0136  -0.0014   0.1031  -0.0268   0.4001   0.3013  -0.0013 
  7.1000  -1.8360   1.8968   1.9616  -1.4712  -1.0932   1.1469   0.4735  -1.0967   0.0069   0.0896   0.0097   0.4008   0.3103  -0.0003 
  7.2000  -2.1805   1.7752   1.7752  -1.9089  -1.1451   1.2040   0.8214  -1.4031  -0.0067   0.0955   0.0088   0.4001   0.3198   0.0006 
  7.3000  -2.1683   2.0427   2.1440  -2.3629  -0.9885   1.2516   0.9123  -1.0395  -0.0043   0.1090  -0.0096   0.3997   0.3307  -0.0004 
  7.4000  -1.8887   2.2048   2.0832  -1.9697  -0.9885   1.0473   0.6674  -0.8716   0.0054   0.1018   0.0013   0.4002   0.3409  -0.0003 
  7.5000  -2.0589   1.7630   1.9454  -2.0346  -1.0136   1.1806   0.6405  -1.0196  -0.0048   0.0975  -0.0051   0.3997   0.3507  -0.0008 
  7.6000  -1.6658   2.0467   2.1926  -1.6901  -1.2153   1.2629   0.6665  -1.0854   0.0110   0.0949  -0.0055   0.4009   0.3602  -0.0013 
  7.7000  -2.3953   2.0224   1.7995  -1.8968  -1.2897   1.1806   0.6725  -1.3416  -0.0059   0.1014   0.0234   0.4003   0.3703   0.0010 
  7.8000  -2.1319   2.1035   2.0427  -2.3831  -0.8734   1.0629   0.9097  -0.9980  -0.0046   0.1083  -0.0062   0.3998   0.3811   0.0004 
  7.9000  -1.9981   2.1075   1.9373  -1.9333  -0.8846   1.0352   0.7115  -0.9097   0.0014   0.0997   0.0076   0.3999   0.3911   0.0012 
  8.0000  -2.1521   1.9981   2.2534  -2.2129  -0.8145   0.9591   0.6561  -0.9340  -0.0014   0.1077  -0.0103   0.3998   0.4019   0.0001 
  8.1000  -1.3902   1.7995   2.1440  -1.7306  -1.1140   1.0707   0.4648  -0.8647   0.0103   0.0883  -0.0222   0.4008   0.4107  -0.0021 
  8.2000  -3.4328  -0.0405  -0.3931  -3.1613  -1.9882   0.2233  -0.1662  -1.7156  -0.0878   0.0770   0.0203   0.3921   0.4184  -0.0001 
  8.3000  -2.6912   0.1094   0.2310  -2.9546  -1.1893   1.2966   0.8465  -1.0655  -0.0663   0.0748  -0.0125   0.3854   0.4259  -0.0013 
  8.4000  -3.0924   0.8025   0.3283  -2.9181  -1.3563   1.2871   0.8786  -1.1218  -0.0610   0.0893   0.0211   0.3793   0.4348   0.0008 
  8.5000  -2.7722   0.5026   0.5512  -2.6020  -1.0404   1.2395   1.0188  -1.3044  -0.0540   0.0803   0.0039   0.3739   0.4429   0.0012 
  8.6000  -2.8816   1.1105   0.7417  -2.7763  -1.1486   1.1079   1.1625  -1.3010  -0.0476   0.0939   0.0154   0.3692   0.4523   0.0027 
  8.7000  -2.6506   0.7093   1.2402  -3.0883  -1.0170   1.0049   0.7963  -1.1841  -0.0474   0.0961  -0.0314   0.3644   0.4619  -0.0004 
  8.8000  -3.0681   0.6242   0.7944  -2.6020  -0.9729   1.1841   0.5929  -1.0326  -0.0531   0.0886   0.0096   0.3591   0.4707   0.0005 
  8.9000  -2.4480   0.5390   0.9970  -2.4804  -1.1019   1.2057   0.7539  -1.2092  -0.0424   0.0808  -0.0159   0.3548   0.4788  -0.0011 
  9.0000  -3.2343   1.1429   0.8430  -3.0681  -1.1079   0.9322   0.6500  -1.0084  -0.0540   0.1036   0.0151   0.3495   0.4892   0.0005 
  9.1000  -2.6263   0.8309   0.7538  -2.6385  -0.6405   0.6691   0.5566  -0.8180  -0.0460   0.0856   0.0021   0.3449   0.4977   0.0007 
  9.2000  -2.2656   0.1581   1.0213  -2.8249  -1.0872   1.1209   0.3532  -0.8933  -0.0489   0.0784  -0.0462   0.3400   0.5056  -0.0039 
  9.3000  -3.0032   0.7295   0.4012  -2.2656  -1.2663   1.3806   0.4276  -0.9651  -0.0517   0.0800   0.0346   0.3348   0.5136  -0.0005 
  9.4000  -2.6790   0.5998   0.7579  -2.9222  -1.0776   1.2248   0.7487  -0.9997  -0.0530   0.0870  -0.0130   0.3295   0.5223  -0.0018 
  9.5000  -2.6749   0.9524   0.5958  -2.5209  -1.2092   1.2559   0.6656  -0.9045  -0.0456   0.0843   0.0166   0.3250   0.5307  -0.0001 
  9.6000  -2.5453   0.7052   1.0376  -2.7965  -1.2975   1.1703   0.5315  -1.1123  -0.0450   0.0886  -0.0189   0.3205   0.5396  -0.0020 
  9.7000  -3.0762   1.0821   0.3769  -2.3507  -1.2698   1.0941   0.5817  -1.2317  -0.0496   0.0861   0.0465   0.3155   0.5482   0.0026 
  9.8000  -2.6790   0.4175   0.6242  -2.9708  -1.0759   1.0162   0.9694  -1.3399  -0.0576   0.0836  -0.0162   0.3097   0.5565   0.0010 
  9.9000  -2.6871   0.7052   0.5634  -2.6912  -1.2404   1.3607   1.0430  -1.1945  -0.0514   0.0831   0.0045   0.3046   0.5648   0.0014 
 10.0000  -2.7763   0.6201   1.1065  -2.8573  -1.2057   1.3962   0.9123  -1.3122  -0.0488   0.0920  -0.0184   0.2997   0.5740  -0.0004 
 10.1000  -3.1289   1.0943   0.7822  -2.9465  -1.0170   1.1322   0.8067  -1.0214  -0.0525   0.0994   0.0161   0.2945   0.5840   0.0012 
 10.2000  -2.6263   0.8754   0.9241  -2.7763  -0.8128   0.9365   0.7357  -0.9902  -0.0450   0.0900  -0.0064   0.2899   0.5930   0.0006 
 10.3000  -2.7601   0.7174   0.7822  -2.7965  -0.9166   0.9504   0.5799  -1.0110  -0.0507   0.0882  -0.0033   0.2849   0.6018   0.0002 
 10.4000  -2.5047   0.4620   0.8673  -2.5696  -0.9807   1.1374   0.5211  -1.0482  -0.0468   0.0800  -0.0153   0.2802   0.6098  -0.0013 
 10.5000  -2.9222   1.0132   0.4864  -3.0762  -1.0698   0.9755   0.6604  -0.8777  -0.0562   0.0937   0.0121   0.2746   0.6192  -0.0001 
 10.6000  -2.5453   0.7214   0.7093  -2.6506  -0.7643   0.9833   0.6241  -0.8361  -0.0471   0.0828  -0.0030   0.2699   0.6275  -0.0004 
 10.7000  -3.0073   0.5593   0.8916  -2.6871  -0.8007   1.0949   0.4631  -0.9746  -0.0530   0.0893  -0.0004   0.2646   0.6364  -0.0004 
 10.8000  -2.4480   0.6323   0.6809  -2.2291  -0.9616   1.0681   0.5704  -1.0854  -0.0420   0.0749   0.0055   0.2604   0.6439   0.0001 
 10.9000  -2.7763   0.9524   0.5107  -3.4328  -1.1945   0.9556   0.7955  -0.9340  -0.0593   0.0959  -0.0070   0.2544   0.6535  -0.0006 
 11.0000  -2.4237   0.8187   0.7214  -2.5898  -1.0058   1.0404   0.5964  -0.7842  -0.0434   0.0819  -0.0022   0.2501   0.6617  -0.0008 
 11.1000  -2.7155   0.6485   0.6242  -2.4561  -1.2005   1.1642   0.6137  -1.2707  -0.0487   0.0806   0.0092   0.2452   0.6697   0.0001 
 11.2000  -2.7398   0.7944   0.7174  -2.4480  -1.2776   1.1045   0.7738  -1.4983  -0.0460   0.0837   0.0120   0.2406   0.6781   0.0013 
 11.3000  -3.1046   0.6849   0.5715  -3.4936  -1.1157   1.0136   0.9305  -1.0820  -0.0668   0.0982  -0.0089   0.2339   0.6879   0.0004 
 11.4000  -2.6628   0.8876   0.4985  -2.3223  -0.7937   1.1287   1.0586  -1.0863  -0.0450   0.0796   0.0237   0.2294   0.6959   0.0028 
 11.5000  -2.4966   0.5634   1.4145  -2.9708  -1.1417   1.1633   0.7859  -1.4187  -0.0436   0.0931  -0.0430   0.2251   0.7052  -0.0015 
 11.6000  -3.1370   0.9160   0.6931  -2.5696  -1.1001   1.1226   0.5038  -1.1685  -0.0512   0.0914   0.0257   0.2199   0.7143   0.0011 
 11.7000  -2.7479   0.8552   0.7538  -3.5180  -0.8284   0.8197   0.7660  -0.8855  -0.0582   0.0984  -0.0217   0.2141   0.7242  -0.0011 
 11.8000  -2.5696   0.9889   0.5390  -2.3021  -0.7660   0.9409   0.6215  -0.8353  -0.0418   0.0800   0.0233   0.2099   0.7322   0.0012 
 11.9000  -2.3102   0.3040   1.1348  -2.8735  -1.1339   1.0794   0.5064  -1.1599  -0.0468   0.0828  -0.0453   0.2053   0.7404  -0.0033 
 12.0000  -2.9911   0.7944   0.1864  -2.1562  -1.1979   1.2291   0.5869  -1.1850  -0.0521   0.0766   0.0468   0.2001   0.7481   0.0014 
 12.1000  -2.7520   0.6079   0.9403  -3.3315  -0.9660   1.1728   0.9028  -1.1304  -0.0567   0.0954  -0.0296   0.1944   0.7576  -0.0016 
 12.2000   0.0243  -2.1197  -2.0427   1.0497   1.8584  -1.8575  -1.8411   1.6506  -0.0386  -0.0655   0.0308   0.1905   0.7511   0.0015 
 12.3000   1.7144  -3.6274  -3.7084   2.2899   2.0055  -1.9692  -1.9977   1.3910  -0.0416  -0.1418   0.0213   0.1864   0.7369   0.0036 
 12.4000   1.8846  -4.6690  -4.1381   1.7995   1.5598  -1.5771  -1.7190   0.8535  -0.0640  -0.1561  -0.0200   0.1800   0.7213   0.0016 
 12.5000   1.6698  -3.9678  -3.9516   1.9333   1.1642  -0.7453  -1.0586   0.6500  -0.0540  -0.1440   0.0080   0.1747   0.7069   0.0024 
 12.6000   1.6901  -3.3558  -3.3964   1.0862   0.7548  -0.6509  -0.6795   0.3609  -0.0497  -0.1191  -0.0183   0.1697   0.6949   0.0006 
 12.7000   0.4864  -2.2291  -2.7601   0.7457   1.0196  -0.9443  -0.9409   0.4553  -0.0470  -0.0778   0.0257   0.1650   0.6872   0.0032 
 12.8000   0.9849  -3.1167  -2.9100   0.5471   1.3347  -1.2447  -1.0638   0.6648  -0.0562  -0.0945  -0.0209   0.1594   0.6777   0.0011 
 12.9000   0.7660  -2.4561  -2.6182   0.7782   1.1928  -0.9902  -0.9686   0.6743  -0.0441  -0.0827   0.0057   0.1550   0.6694   0.0016 
 13.0000   0.9727  -3.1775  -3.2829   0.4620   1.0932  -0.9348  -0.8327   0.7202  -0.0628  -0.0987  -0.0132   0.1488   0.6595   0.0003 
 13.1000   0.8309  -2.2615  -2.1886   0.8025   1.1581  -0.7825  -0.8604   0.6959  -0.0352  -0.0760  -0.0033   0.1452   0.6519  -0.0000 
 13.2000   0.9038  -2.8979  -2.7884   0.6728   1.0127  -1.1642  -1.2750   0.6570  -0.0514  -0.0908  -0.0111   0.1401   0.6429  -0.0011 
 13.3000   0.8309  -2.8857  -2.7398   0.8309   0.8422  -0.6907  -1.0352   0.6085  -0.0495  -0.0911  -0.0047   0.1351   0.6338  -0.0016 
 13.4000   0.3323  -2.5047  -2.8371   0.3404   0.9859  -0.8396  -0.9686   0.7937  -0.0584  -0.0752   0.0111   0.1293   0.6262  -0.0005 
 13.5000   0.8673  -2.7398  -2.3507   0.7052   1.3010  -0.8881  -1.2897   1.0387  -0.0440  -0.0833  -0.0179   0.1249   0.6179  -0.0023 
 13.6000   0.8025  -2.8979  -3.0154   1.2280   0.9850  -0.7556  -1.2871   0.7435  -0.0485  -0.0993   0.0176   0.1200   0.6080  -0.0005 
 13.7000   0.9160  -2.7276  -2.7965   0.9524   0.7877  -0.7262  -0.9461   0.3999  -0.0457  -0.0924   0.0034   0.1154   0.5988  -0.0002 
 13.8000   0.1824  -2.0224  -3.3599   0.6079   1.0560  -1.1677  -0.6760   0.4319  -0.0574  -0.0772   0.0572   0.1097   0.5910   0.0056 
 13.9000   1.3050  -2.9546  -1.8644   0.2108   1.3988  -1.2127  -1.0941   0.6319  -0.0413  -0.0792  -0.0709   0.1056   0.5831  -0.0015 
 14.0000   0.5593  -2.5453  -3.3437   1.1065   0.8465  -1.0949  -1.3364   0.7132  -0.0528  -0.0944   0.0437   0.1003   0.5737   0.0028 
 14.1000   1.4104  -3.1775  -2.3750   0.3688   0.8058  -0.9928  -0.9616   0.4544  -0.0472  -0.0916  -0.0599   0.0956   0.5645  -0.0031 
 14.2000  -0.0486  -2.1319  -3.4693   1.0011   0.8812  -0.9971  -0.8734   0.5384  -0.0581  -0.0819   0.0775   0.0898   0.5563   0.0046 
 14.3000   1.4266  -3.3315  -1.9495  -0.0527   1.2551  -1.0794  -0.9582   0.6925  -0.0488  -0.0832  -0.0929   0.0850   0.5480  -0.0047 
 14.4000   0.2553  -2.3588  -3.4085   1.3253   0.8232  -0.7747  -1.2378   0.8812  -0.0523  -0.0918   0.0688   0.0797   0.5388   0.0022 
 14.5000   1.3618  -3.0154  -2.4237   0.0122   0.9591  -0.9738  -0.7712   0.7643  -0.0508  -0.0852  -0.0630   0.0746   0.5303  -0.0041 
 14.6000   0.0284  -1.9495  -3.2343   1.2888   1.0993  -0.9582  -1.0785   0.8993  -0.0483  -0.0813   0.0826   0.0697   0.5222   0.0042 
 14.7000   1.4469  -3.3842  -2.2251   0.2918   1.2516  -1.1287  -0.9530   0.6847  -0.0484  -0.0918  -0.0751   0.0649   0.5130  -0.0034 
 14.8000   0.3445  -2.4966  -3.1735   1.3537   0.8136  -0.6423  -1.1175   0.7669  -0.0496  -0.0921   0.0547   0.0599   0.5038   0.0021 
 14.9000   0.9646  -3.2626  -2.3872   0.0648   1.0984  -0.7877  -0.8405   0.7790  -0.0578  -0.0835  -0.0576   0.0542   0.4954  -0.0036 
 15.0000   0.3040  -2.1643  -2.8127   1.2159   1.1010  -0.6596  -1.1685   1.0534  -0.0432  -0.0812   0.0507   0.0498   0.4873   0.0014 
 15.1000   0.9605  -2.9546  -2.4439   0.7093   1.2516  -1.0768  -1.1209   0.6907  -0.0466  -0.0884  -0.0247   0.0452   0.4785  -0.0011 
 15.2000   0.4134  -2.2615  -3.0438   1.1186   1.1806  -1.1659  -1.0958   0.7037  -0.0472  -0.0855   0.0483   0.0405   0.4699   0.0038 
 15.3000   1.3739  -3.1654  -2.7357   0.3404   1.1175  -1.2083  -0.9236   0.6630  -0.0523  -0.0952  -0.0475   0.0353   0.4604  -0.0010 
 15.4000   0.5147  -2.1562  -2.8452   0.8309   0.9054  -1.0681  -1.1019   0.7704  -0.0457  -0.0793   0.0326   0.0307   0.4525   0.0023 
 15.5000   1.0983  -3.0802  -2.6547   0.4985   1.0794  -1.3278  -1.1304   0.6656  -0.0517  -0.0916  -0.0333   0.0255   0.4433  -0.0010 
 15.6000   0.6931  -2.8209  -3.1167   0.8430   0.8353  -0.9054  -1.0196   0.7219  -0.0550  -0.0934   0.0145   0.0200   0.4340   0.0004 
 15.7000   0.5350  -3.1775  -2.7601   0.6444   1.1149  -0.7643  -0.7695   0.6068  -0.0595  -0.0890  -0.0100   0.0141   0.4251  -0.0006 
 15.8000   0.7214  -2.3386  -2.6385   0.9038   1.0811  -0.8889  -0.7513   0.7453  -0.0419  -0.0825   0.0157   0.0099   0.4168   0.0010 
 15.9000   1.1105  -2.8695  -2.7601   0.6120   0.8586  -1.0326  -0.8335   0.6189  -0.0488  -0.0919  -0.0197   0.0050   0.4076  -0.0010 
 16.0000   0.8065  -2.7398  -2.9911   0.6849   0.6656  -0.7167  -0.6942   0.6881  -0.0530  -0.0903   0.0042  -0.0003   0.3986  -0.0006 
 16.1000   0.4053  -2.1886  -2.2778   0.3810   1.0274  -0.9746  -0.8656   0.8024  -0.0460  -0.0657   0.0021  -0.0049   0.3920  -0.0004 
 16.2000   2.7114  -1.4955  -1.3537   3.2869   2.1527  -0.7453  -0.8041   1.5892   0.0394  -0.1106   0.0141  -0.0010   0.3810   0.0010 
 16.3000   2.5655  -1.9576  -1.6901   2.1683   0.8690  -1.2482  -1.1720   0.6163   0.0136  -0.1048  -0.0216   0.0004   0.3705  -0.0011 
 16.4000   2.1075  -1.8481  -2.2372   2.2048   0.9288  -1.0629  -1.0447   0.8768   0.0028  -0.1050   0.0158   0.0007   0.3600   0.0005 
 16.5000   2.4196  -2.2494  -2.0062   2.1075   0.8751  -0.9210  -0.8543   0.7340   0.0034  -0.1098  -0.0180   0.0010   0.3490  -0.0013 
 16.6000   1.6901  -2.1156  -2.2251   2.1926   0.8335  -0.6665  -0.8483   0.6552  -0.0057  -0.1028   0.0199   0.0004   0.3387   0.0006 
 16.7000   1.5969  -1.5077  -1.4712   1.8360   1.2923  -1.1469  -0.9409   0.7496   0.0057  -0.0801   0.0066   0.0010   0.3307   0.0013 
