t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
 10.4000  -3.1978   3.0519  -2.9060   2.9587  -0.8162   0.5064  -0.6656   0.3532  -0.0012   0.0048   0.3933  -0.0005  -0.0004   4.0847 
 10.5000  -2.9181   3.1046  -3.4936   2.6060  -0.8742   0.4536  -0.4293   0.8093  -0.0088  -0.0010   0.3936  -0.0000   0.0004   4.1240 
 10.6000  -3.2261   3.0154  -2.7357   3.1613  -0.5418   0.6474  -0.5929   0.6284   0.0027   0.0043   0.3941   0.0002  -0.0001   4.1634 
 10.7000  -2.8614   2.5777  -2.8816   3.2018  -0.6959   0.6933  -0.7427   0.5765   0.0005  -0.0081   0.3741  -0.0005   0.0003   4.2008 
 10.8000  -2.9424   3.4936  -3.0802   3.1046  -0.9989   0.5341  -0.5721   0.5687   0.0072   0.0031   0.4098  -0.0006  -0.0005   4.2418 
 10.9000  -2.8695   2.8087  -3.3964   2.8614  -0.9270   0.4155  -0.4544   0.4925  -0.0074  -0.0072   0.3875  -0.0009   0.0005   4.2806 
 11.0000  -3.1046   2.9424  -2.8209   2.8735  -0.8301   0.8993  -0.4717   0.5834  -0.0014   0.0044   0.3812  -0.0004   0.0004   4.3187 
 11.1000  -3.0032   3.1654  -3.2383   3.3315  -0.8067   0.6890  -0.4683   0.4968   0.0032  -0.0050   0.4136  -0.0010   0.0003   4.3601 
 11.2000  -2.9587   3.0559  -2.6993   2.7965  -0.9426   0.6059  -0.4259   0.4077   0.0024   0.0065   0.3737  -0.0005  -0.0001   4.3974 
 11.3000  -3.4815   2.8614  -2.8979   3.2261  -0.6777   0.6925  -0.7582   0.4804  -0.0036   0.0027   0.4048  -0.0001   0.0001   4.4379 
 11.4000  -3.0883   2.7479  -2.7479   3.1370  -0.6102   0.7245  -0.6180   0.4830   0.0006  -0.0006   0.3806  -0.0002   0.0001   4.4760 
 11.5000  -2.9951   3.4531  -3.3842   2.8573  -0.8734   0.4752  -0.4103   0.7236  -0.0009   0.0026   0.4120   0.0001   0.0001   4.5172 
 11.6000  -2.8573   3.1127  -3.0681   2.5777  -0.6431   0.3540  -0.4285   0.7981  -0.0029   0.0041   0.3771   0.0005   0.0003   4.5549 
 11.7000  -2.7520   2.6993  -2.8735   3.2626  -0.7496   0.7444  -0.7314   0.7392   0.0042  -0.0086   0.3762  -0.0004   0.0001   4.5925 
